ern,entref,name,trading_style,address1,address2,address3,address4,address5,postcode,legal_status,sic07,paye_empees,paye_jobs,ent_turnover,std_turnover,grp_turnover,cntd_turnover,app_turnover,prn,working_props,employment,region,imp_empees,imp_turnover
1100000011,9906000415,&BAMCFLINT,,1 GARENDON WAY,GROBY,LEICESTER,,,LE6 0YR ,1,46160,1,0,400,400,0,0,0,0.269071541,1,100,E120000001,,
1100000012,9906000425,MACAITRN,,1 GRAVES FARM,ALGARKIRK,BOSTON,LINCOLNSHIRE,LINCS,PE20 2BQ,2,46170,1,0,5,5,0,0,0,0.395809076,1,100,E120000001,,
1100000013,9906000485,PLCABMUING/HEATING & MAINTENANCE,,1 GREEN COTTAGES,WATFORD ROAD,HARROW,MIDDLESEX,,HA1 3TS ,2,46180,0,0,1,0,0,0,1,0.763386478,1,100,E120000001,,
1100000014,9906000505,PLCABMUING/HEATING AND,,1 GREENEND CLOSE,SPENCERS WOOD,READING,,,RG7 1EH ,1,46190,1,1,153,0,154,0,153,0.559494733,1,100,E120000001,,
1100000015,9906000555,APHCALEPL,,1 GRESHAM STREET,LONDON,,,,EC2V 7BX,3,46210,0,0,37,37,0,0,0,0.921531941,1,100,E120000001,,
1100000016,9906000675,IDARESVICES LTD,,1 GREY TERRACE,RYHOPE,SUNDERLAND,,,SR2 0QT ,1,46220,2,2,232,232,0,0,0,0.592446945,1,100,E120000001,,
1100000017,9906000715,SDATIKCHENS LTD,,1 GREY TERRACE,SUNDERLAND,,,,SR2 0QT ,1,46230,1,1,489,489,0,0,0,0.014127394,1,100,E120000001,,
1100000018,9906000725,SADANOLLIMITED,,1 GROVE LODGE COTTAGES,BINSTED,ARUNDEL,WEST SUSSEX,,BN18 0LQ,1,46342,3,3,906,906,0,0,0,0.131363333,1,100,E120000001,,
1100000019,9906000815,NNEDASI,,1 HATHERMEAD GARDEN,YEOVIL,SOMERSET,,,BA21 5BY,1,46240,1,0,34,34,0,0,0,0.459509254,1,100,E120000001,,
1100000020,9906001325,RAG2BIHPC DESIGN LTD,,1 BALLYCREGAGH ROAD,CLOUGHMILLS,BALLYMENA,,,BT44 9LB,1,46410,0,0,0,0,0,0,0,0.65377881,1,100,E120000001,,
1100000021,9906001425,CIMALIVENGINEERING LTD,,1 LAWSON GARDENS,PINNER,MIDDLESEX,,,HA5 2BR ,2,46440,4,1,73,73,0,0,0,0.121936763,1,100,E120000001,,
1100000022,9906001475,KEJANELTD,,1 KENT ROAD WEST,MANCHESTER,,,,M14 5RF ,2,46510,2,2,87,87,0,0,0,0.621867742,1,100,E120000001,,
1100000023,9906001495,CHMAWDAICK,,1 LAWN COTTAGES,NEWCASTLE,CRAVEN ARMS,SHROPSHIRE,,SY7 8PL ,3,46520,1,1,252,252,0,0,0,0.406118691,1,100,E120000001,,
1100000024,9906001525,(SMASSUEX) LTD,HTUSOAOCST LAW,1 LANSDOWNE VILLAS,GOODLEIGH ROAD,BARNSTAPLE,DEVON,,EX32 7JR,2,46620,1,1,84,84,0,0,0,0.494866653,1,100,E120000001,,
1100000025,9906001545,HEMAFYRICS,YFEHAMCIRS,1 LITTLE JENKYN,HOLE LANE,BENTLEY,HAMPSHIRE,,GU10 5LU,2,46660,0,2,47,47,0,0,0,0.494800009,1,100,E120000001,,
1100000026,9906001595,DNAAWMHOLESALE LTD,,1 FREEWATERS CLOSE,ICKLEFORD,HITCHIN,,,SG5 3TQ ,2,46711,0,0,80,80,0,0,0,0.370100977,1,100,E120000001,,
1100000027,9906001605,AUBASOT( CHRISTCHURCH ) LIMITED,,1 GARLING WALK,WEST BERGHOLT,COLCHESTER,,,CO6 3LG ,2,46720,1,0,95,95,0,0,0,0.077821584,1,100,E120000001,,
1100000028,9906001615,SMANOCSULTANCY LTD,,1 LOWER BAR,NEWPORT,,,,TF10 7BE,2,46770,2,2,66,66,0,0,0,0.019539575,1,100,E120000001,,
1100000029,9906001705,DNAAPMLUMBING AND HEATING LTD,,1 FINWAY ROAD,HEMEL HEMPSTEAD INDUSTRIAL EST,HEMEL HEMPSTEAD,,,HP2 7PT ,1,46900,1,0,99,99,0,0,0,0.35034768,1,100,E120000001,,
1100000030,9906001715,CRMATBAREE LTD,,1 LENAMORE DRIVE,NEWTOWNABBEY,,,,BT37 0PQ,1,47110,2,2,44,44,0,0,0,0.58822925,1,100,E120000001,,
1100000031,9906001735,&KAJMHUGHES,,1 KINROSS ROAD,LESLIE,FIFE,,,KY6 3NE ,1,47190,4,4,179,179,0,0,0,0.769345363,1,100,E120000001,,
1100000032,9906001785,JO2WDTL,,1 BEARDS TERRACE,COGGESHALL,COLCHESTER,,,CO6 1TB ,1,47220,1,0,255,255,0,0,0,0.976027039,1,100,E120000001,,
1100000033,9906001795,SUMAESSX LTD,,1 LUMLEY STREET,LONDON,,,,W1K 6TT ,2,47240,4,4,110,110,0,0,0,0.706603515,1,100,E120000001,,
1100000034,9906001865,&HAJNWEATHERHEAD & J A KING,,1 HILLTOP,TILLINGTON,PETWORTH,,,GU28 9AQ,1,47300,7,7,114,114,0,0,0,0.65984736,1,100,E120000001,,
1100000035,9906001905,WEMAIDLNG & STEEL FABRIC,,1 LUMLEY STREET,MAYFAIR,LONDON,,,W1K 6TT ,2,47410,2,2,66,66,0,0,0,0.859542047,1,100,E120000001,,
1100000036,9906001995,DNAAEMWOODHOUSE,,1 FIELD COTTAGES,FIELD LANE,HENSALL,GOOLE NORTH HUMBERSIDE,,DN14 0RB,7,47421,3,2,375,375,0,0,0,0.956089534,1,100,E120000001,,
1100000037,9906002005,INMASUDTRIAL (UK) LTD,,1 LITTLE JENKYN,HOLE LANE,BENTLEY,HAMPSHIRE,,GU10 5LU,7,47429,4,3,176,176,0,0,0,0.095149878,1,100,E120000001,,
1100000038,9906002055,DNAAPMLUMBING AND HEATING,,1 FINWAY ROAD,HEMEL HEMPSTEAD,HERTFORDSHIRE,,,HP2 7PT ,2,47429,1,0,19,19,0,0,0,0.229139491,1,100,E120000001,,
1100000039,9906002175,WEMAIDLNG & STEEL FABRICATION,,1 MAIN ROAD,HANWOOD,SHREWSBURY,SHROPSHIRE,,SY5 8LY ,1,47610,4,5,337,337,0,0,0,0.125090247,1,100,E120000001,,
1100000040,9906002225,MEASIMCHIATI,,1 HIGH LODGE,COVENTRY ROAD,COLESHILL,NORTH WARWICKSHIRE,,B46 3FE ,1,47620,6,6,303,303,0,0,0,0.94373722,1,100,E120000001,,
1100000041,9906002235,IGEHATHLTD,,1 HILLVIEW COTTAGES,STRATFORD BRIDGE RIPPLE,TEWKESBURY,GLOUCESTERSHIRE,,GL20 6HE,1,47720,1,1,53,53,0,0,0,0.143007284,1,100,E120000001,,
1100000042,9906002335,&JAHKEATHER,,1 INMAN ROAD,NORWICH,,,,NR7 8JT ,1,47722,1,1,57,57,0,0,0,0.972143259,1,100,E120000001,,
1100000043,9906002365,BOJAEWSLL LIMITED,,1 KELSO PLACE,UPPER BRISTOL ROAD,BATH,,,BA1 3AU ,1,47740,3,3,196,196,0,0,0,0.048451117,1,100,E120000001,,
1100000044,9906002485,AGJASUILTD,,1 JINGLERS COURT,BANBRIDGE,,,,BT32 3YJ,1,47749,5,6,210,210,0,0,0,0.823863174,1,100,E120000001,,
1100000045,9906002515,BJAULPMBING & HEATING LTD,,1 JINGLERS COURT,BANBRIDGE,CO DOWN,,,BT32 3YJ,1,47781,4,36,224,224,0,0,0,0.300306452,1,100,E120000001,,
1100000046,9906002525,HIBAER,,1 GLYNDE PLACE,HORSHAM,,,,RH12 1NZ,1,47782,3,2,117,117,0,0,0,0.796827258,1,100,E120000001,,
1100000047,9906002545,LTL2CD,,1 BARN CLOSE,QUARNDON,DERBY,,,DE22 5JE,1,47789,1,0,64,64,0,0,0,0.086415741,1,100,E120000001,,
1100000048,9906002585,&IAJLMOORLAND,,1 HOSKINS PLACE,WATCHETTS ROAD,CAMBERLEY,SURREY,,GU15 2PB,1,47820,4,4,280,280,0,0,0,0.804574391,1,100,E120000001,,
1100000049,9906002605,BOJAELIR MAINTENANCE LIMITED,,1 JUNO WAY,SWINDON,,,,SN5 8ZD ,2,47990,1,1,304,304,0,0,0,0.104129114,1,100,E120000001,,
1100000050,9906002735,CEIAILINGS PARTITIONS LTD,,1 HUNT LANE,DONCASTER,,,,DN5 9SF ,7,45112,1,1,56,56,0,0,0,0.736275725,1,100,E120000001,,
1100000051,9906016135,DE536LEVOPMENTS LTD,,1 BORLASES COTTAGES,MILLEY ROAD,WALTHAM ST LAWRENCE,READING,,RG10 0JY,1,45320,5,5,369,369,0,0,0,0.158231512,1,100,E120000001,,
1100000052,9906044845,L9337DT,,1 BORLASES COTTAGES,MILLEY ROAD,WALTHAM ST LAWRENCE,READING,,RG10 0JY,1,45400,4,0,2150,2150,0,0,0,0.126696302,1,100,E120000001,,
1100000053,9906050715,OOT3DOBLX LTD,,1 BOXLEY GARDENS,BOXLEY ROAD,PENENDEN HEATH,MAIDSTONE,,ME14 2BD,1,45190,0,0,392,392,0,0,0,0.424149751,1,100,E120000001,,
1100000054,9906152275,OOT3DOBLX LTD,OOT3DOBLX.COM,1 BRAESIDE,NAPHILL,HIGH WYCOMBE,BUCKS,,HP14 4RY,1,46150,9,9,314,314,0,0,0,0.298446864,1,100,E120000001,,
1100000055,9906210955,OGC3VMIESRL LTD,,1 BRITTEN CLOSE,LANGDON HILLS,BASILDON,,,SS16 6TB,1,46190,1,1,8279,8279,0,0,0,0.823342781,1,100,E120000001,,
1100000056,9906215965,UNOC4EITS SERVICES LIMITED,,1 BRITTEN CLOSE,LANGDON HILLS,BASILDON,ESSEX,,SS16 6TB,1,46310,8,13,30270,30270,0,0,0,0.968260607,1,100,E120000001,,
1100000057,9906256815,&BACCGOUGH,,1 FULLBROOK CLOSE,WOKINGHAM,BERKS,,,RG41 1QZ,1,46342,4,4,250,250,0,0,0,0.800081651,1,100,E120000001,,
1100000058,9906262085,&GAHKOLMES,,1 HILL STREET,EDINBURGH,,,,EH2 3JP ,1,46410,1,1,113,113,0,0,0,0.22581264,1,100,E120000001,,
1100000059,9906262705,UNOC4EITS SERVICES LTD,,1 BROOK COURT,BLAKENEY ROAD,BECKENHAM,KENT,,BR3 1HG ,1,46470,8,8,4566,4566,0,0,0,0.402750262,1,100,E120000001,,
1100000060,9906271725,OSRFAFTARMER CONTRACTOR,,1 HILL COTTAGE,MUNDHAM HILL,MUNDHAM,NORWICH NORFOLK,,NR14 6EJ,1,47110,3,5,411,411,0,0,0,0.875623235,1,100,E120000001,,
1100000061,9906281115,KEJANELIMITED,,1 KENSWORTH GATE,200-204 HIGH STREET SOUTH,DUNSTABLE,BEDS,,LU6 3HS ,2,47230,3,3,88,88,0,0,0,0.974488798,1,100,E120000001,,
1100000062,9906281225,PJAHOJNSON,,1 KEYTES LANE,BARFORD,WARWICKSHIRE,,,CV35 8EP,2,47290,3,3,174,174,0,0,0,0.002462008,1,100,E120000001,,
1100000063,9902232725,BIG BOX CEREAL LTD INCL VAT GROUP,,(ROAD HAULAGE CONTRS) LTD,BOW BRIDGE,WATERINGBURY,MAIDSTONE,KENT,ME18 5ED,1,47599,14100,14367,27367068,0,27367068,27367068,0,0.556599574,1,100,E120000001,,
1100000064,9999999999,AGBBROWN,,1 HAWRIDGE HILL COTTAGES,THE VALE,HAWRIDGE,CHESHAM BUCKINGHAMSHIRE,,HP5 3NU ,1,45112,14,14,86,86,0,0,0,0.110639412,1,100,E120000001,,
1100000065,9999999999,EADLIING SOLUTIONS LTD,,1 HAZELWOOD LANE,ABBOTS LANGLEY,,,,WD5 0HA ,3,45190,14,13,113,10,0,0,0,0.63948897,1,100,E120000001,,
1100000066,9999999999,2WMILITED,,1 BARRASCROFTS,CANONBIE,,,,DG14 0RZ,1,45200,14,13,69,69,0,0,0,0.096641784,1,100,E120000001,,
1100000067,9999999999,BASOT(CHRISTCHURCH) LIMITED,,1 GARTH EDGE,SHAWFORTH,WHITWORTH,ROCHDALE LANCASHIRE,,OL12 8EH,2,45320,13,13,20,20,0,0,0,0.510301459,1,100,E120000001,,
1100000068,9999999999,BAER,,1 GEORGE SQUARE,GLASGOW,,,,G2 5LL  ,1,45400,14,14,119,119,0,0,0,0.148771478,1,100,E120000001,,
1100000069,9999999999,BAER,,1 GLEN ROAD,HINDHEAD,SURREY,,,GU26 6QE,1,46110,14,14,310,310,0,0,0,0.589704168,1,100,E120000001,,
1100000070,9999999999,ANOCTRACTS UK LTD,,1 GLYNDE PLACE,HORSHAM,WEST SUSSEX,,,RH12 1NZ,1,46120,15,15,300,300,0,0,0,0.156650038,1,100,E120000001,,
1100000071,9999999999,UBARE,,1 GORSE ROAD,REYDON,SOUTHWOLD,,,IP18 6NQ,1,46130,16,16,210,210,0,0,0,0.447874851,1,100,E120000001,,
1100000072,9999999999,CARR,,1 GRANVILLE AVENUE,LONG EATON,NOTTINGHAM,,,NG10 4HA,1,46140,14,14,31,31,0,0,0,0.848314182,1,100,E120000001,,
1100000073,9999999999,AJ&WALTON,,1 GRANVILLE AVENUE,LONG EATON,NOTTINGHAM,,,NG10 4HA,1,46150,15,15,85,85,0,0,0,0.549606666,1,100,E120000001,,
1100000074,9999999999,AMCFLINT,,1 GARENDON WAY,GROBY,LEICESTER,,,LE6 0YR ,1,46160,14,13,413,40,0,0,0,0.270074121,1,100,E120000001,,
1100000075,9999999999,CAITRN,,1 GRAVES FARM,ALGARKIRK,BOSTON,LINCOLNSHIRE,LINCS,PE20 2BQ,2,46170,14,13,18,18,0,0,0,0.396811656,1,100,E120000001,,
1100000076,9999999999,CABMUING/HEATING & MAINTENANCE,,1 GREEN COTTAGES,WATFORD ROAD,HARROW,MIDDLESEX,,HA1 3TS ,2,46180,13,13,14,0,0,0,14,0.764389058,1,100,E120000001,,
1100000077,9999999999,CABMUING/HEATING AND,,1 GREENEND CLOSE,SPENCERS WOOD,READING,,,RG7 1EH ,1,46190,14,14,166,0,180,0,166,0.560497313,1,100,E120000001,,
1100000078,9999999999,HCALEPL,,1 GRESHAM STREET,LONDON,,,,EC2V 7BX,3,46210,13,13,50,50,0,0,0,0.922534521,1,100,E120000001,,
1100000079,9999999999,ARESVICES LTD,,1 GREY TERRACE,RYHOPE,SUNDERLAND,,,SR2 0QT ,1,46220,15,15,245,245,0,0,0,0.593449525,1,100,E120000001,,
1100000080,9999999999,ATIKCHENS LTD,,1 GREY TERRACE,SUNDERLAND,,,,SR2 0QT ,1,46230,14,14,502,502,0,0,0,0.015129974,1,100,E120000001,,
1100000081,9999999999,DANOLLIMITED,,1 GROVE LODGE COTTAGES,BINSTED,ARUNDEL,WEST SUSSEX,,BN18 0LQ,1,46342,16,16,919,919,0,0,0,0.132365913,1,100,E120000001,,
1100000082,9999999999,EDASI,,1 HATHERMEAD GARDEN,YEOVIL,SOMERSET,,,BA21 5BY,1,46240,14,13,47,47,0,0,0,0.460511834,1,100,E120000001,,
1100000083,9999999999,G2BIHPC DESIGN LTD,,1 BALLYCREGAGH ROAD,CLOUGHMILLS,BALLYMENA,,,BT44 9LB,1,46410,13,13,13,0,0,0,0,0.65478139,1,100,E120000001,,
1100000084,9999999999,MALIVENGINEERING LTD,,1 LAWSON GARDENS,PINNER,MIDDLESEX,,,HA5 2BR ,2,46440,17,14,86,86,0,0,0,0.122939343,1,100,E120000001,,
1100000085,9999999999,JANELTD,,1 KENT ROAD WEST,MANCHESTER,,,,M14 5RF ,2,46510,15,15,100,100,0,0,0,0.622870322,1,100,E120000001,,
1100000086,9999999999,MAWDAICK,,1 LAWN COTTAGES,NEWCASTLE,CRAVEN ARMS,SHROPSHIRE,,SY7 8PL ,3,46520,14,14,265,265,0,0,0,0.407121271,1,100,E120000001,,
1100000087,9999999999,MASSUEX) LTD,HTUSOAOCST LAW,1 LANSDOWNE VILLAS,GOODLEIGH ROAD,BARNSTAPLE,DEVON,,EX32 7JR,2,46620,14,14,97,97,0,0,0,0.495869233,1,100,E120000001,,
1100000088,9999999999,MAFYRICS,YFEHAMCIRS,1 LITTLE JENKYN,HOLE LANE,BENTLEY,HAMPSHIRE,,GU10 5LU,2,46660,13,15,60,60,0,0,0,0.495802589,1,100,E120000001,,
1100000089,9999999999,AAWMHOLESALE LTD,,1 FREEWATERS CLOSE,ICKLEFORD,HITCHIN,,,SG5 3TQ ,2,46711,13,13,93,93,0,0,0,0.371103557,1,100,E120000001,,
1100000090,9999999999,BASOT( CHRISTCHURCH ) LIMITED,,1 GARLING WALK,WEST BERGHOLT,COLCHESTER,,,CO6 3LG ,2,46720,14,13,108,108,0,0,0,0.078824164,1,100,E120000001,,
1100000091,9999999999,ANOCSULTANCY LTD,,1 LOWER BAR,NEWPORT,,,,TF10 7BE,2,46770,15,15,79,79,0,0,0,0.020542155,1,100,E120000001,,
1100000092,9999999999,AAPMLUMBING AND HEATING LTD,,1 FINWAY ROAD,HEMEL HEMPSTEAD INDUSTRIAL EST,HEMEL HEMPSTEAD,,,HP2 7PT ,1,46900,14,13,112,112,0,0,0,0.35135026,1,100,E120000001,,
1100000093,9999999999,MATBAREE LTD,,1 LENAMORE DRIVE,NEWTOWNABBEY,,,,BT37 0PQ,1,47110,15,15,57,57,0,0,0,0.58923183,1,100,E120000001,,
1100000094,9999999999,AJMHUGHES,,1 KINROSS ROAD,LESLIE,FIFE,,,KY6 3NE ,1,47190,17,17,192,192,0,0,0,0.770347943,1,100,E120000001,,
1100000095,9999999999,2WDTL,,1 BEARDS TERRACE,COGGESHALL,COLCHESTER,,,CO6 1TB ,1,47220,14,13,268,268,0,0,0,0.977029619,1,100,E120000001,,
1100000096,9999999999,MAESSX LTD,,1 LUMLEY STREET,LONDON,,,,W1K 6TT ,2,47240,17,17,123,123,0,0,0,0.707606095,1,100,E120000001,,
1100000097,9999999999,AJNWEATHERHEAD & J A KING,,1 HILLTOP,TILLINGTON,PETWORTH,,,GU28 9AQ,1,47300,20,20,127,127,0,0,0,0.66084994,1,100,E120000001,,
1100000098,9999999999,MAIDLNG & STEEL FABRIC,,1 LUMLEY STREET,MAYFAIR,LONDON,,,W1K 6TT ,2,47410,15,15,79,79,0,0,0,0.860544627,1,100,E120000001,,
1100000099,9999999999,AAEMWOODHOUSE,,1 FIELD COTTAGES,FIELD LANE,HENSALL,GOOLE NORTH HUMBERSIDE,,DN14 0RB,7,47421,16,15,388,388,0,0,0,0.957092114,1,100,E120000001,,
1100000100,9999999999,MASUDTRIAL (UK) LTD,,1 LITTLE JENKYN,HOLE LANE,BENTLEY,HAMPSHIRE,,GU10 5LU,7,47429,17,16,189,189,0,0,0,0.096152458,1,100,E120000001,,
